time_period,time_identifier,level,country_code,country_name,school_type,characteristic_breakdown,characteristic_label,characteristic_2,headcount
201617,,NATIONAL,E92000001,England,Total,SEN_provision_Statement_or_EHCP,SEN_provision,Total,225955
201617,,NATIONAL,E92000001,England,Total,SEN_provision_SEN_Support,SEN_provision,Total,918270
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_Autistic_spectrum_disorder,SEN_primary_need,Total,108405
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_Hearing_impairment,SEN_primary_need,Total,21165
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_Moderate_learning_difficulty,SEN_primary_need,Total,259715
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_Multi-sensory_impairment,SEN_primary_need,Total,2720
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_No_specialist_assessment,SEN_primary_need,Total,41245
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_Other_difficulty/disability,SEN_primary_need,Total,54340
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_Physical_disability,SEN_primary_need,Total,33685
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_Profound_and_multiple_learning_difficulty,SEN_primary_need,Total,10980
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_Social_emotional_and_mental_health,SEN_primary_need,Total,186795
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_Speech_language_and_communications_needs,SEN_primary_need,Total,234075
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_Severe_learning_difficulty,SEN_primary_need,Total,32340
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_Specific_learning_difficulty,SEN_primary_need,Total,146875
201617,,NATIONAL,E92000001,England,Total,SEN_primary_need_Visual_impairment,SEN_primary_need,Total,11890
201617,,NATIONAL,E92000001,England,Total,IDACI_decile_0_to_10pc_most_deprived,IDACI_decile,Total,780130
201617,,NATIONAL,E92000001,England,Total,IDACI_decile_10_to_20pc,IDACI_decile,Total,838380
201617,,NATIONAL,E92000001,England,Total,IDACI_decile_20_to_30pc,IDACI_decile,Total,839980
201617,,NATIONAL,E92000001,England,Total,IDACI_decile_30_to_40pc,IDACI_decile,Total,815200
201617,,NATIONAL,E92000001,England,Total,IDACI_decile_40_to_50pc,IDACI_decile,Total,833635
201617,,NATIONAL,E92000001,England,Total,IDACI_decile_50_to_60pc,IDACI_decile,Total,816965
201617,,NATIONAL,E92000001,England,Total,IDACI_decile_60_to_70pc,IDACI_decile,Total,770640
201617,,NATIONAL,E92000001,England,Total,IDACI_decile_70_to_80pc,IDACI_decile,Total,771970
201617,,NATIONAL,E92000001,England,Total,IDACI_decile_80_to_90pc,IDACI_decile,Total,813435
201617,,NATIONAL,E92000001,England,Total,IDACI_decile_90_to_100pc_least_deprived,IDACI_decile,Total,744250
201617,,NATIONAL,E92000001,England,Total,IDACI_decile_unclassified,IDACI_decile,Total,495
201617,,NATIONAL,E92000001,England,State-funded primary,Total,Total,Total,4689660
201617,,NATIONAL,E92000001,England,State-funded primary,Gender_male,Gender,Total,2390530
201617,,NATIONAL,E92000001,England,State-funded primary,Gender_female,Gender,Total,2299130
201617,,NATIONAL,E92000001,England,State-funded primary,Age_4_and_under,Age,Total,955070
201617,,NATIONAL,E92000001,England,State-funded primary,Age_4_and_under,Age_gender,Male,486690
201617,,NATIONAL,E92000001,England,State-funded primary,Age_4_and_under,Age_gender,Female,468385
201617,,NATIONAL,E92000001,England,State-funded primary,Age_5,Age,Total,653980
201617,,NATIONAL,E92000001,England,State-funded primary,Age_5,Age_gender,Male,334485
201617,,NATIONAL,E92000001,England,State-funded primary,Age_5,Age_gender,Female,319490
201617,,NATIONAL,E92000001,England,State-funded primary,Age_6,Age,Total,643400
201617,,NATIONAL,E92000001,England,State-funded primary,Age_6,Age_gender,Male,328805
201617,,NATIONAL,E92000001,England,State-funded primary,Age_6,Age_gender,Female,314595
201617,,NATIONAL,E92000001,England,State-funded primary,Age_7,Age,Total,630905
201617,,NATIONAL,E92000001,England,State-funded primary,Age_7,Age_gender,Male,321350
201617,,NATIONAL,E92000001,England,State-funded primary,Age_7,Age_gender,Female,309555
201617,,NATIONAL,E92000001,England,State-funded primary,Age_8,Age,Total,634045
201617,,NATIONAL,E92000001,England,State-funded primary,Age_8,Age_gender,Male,322655
201617,,NATIONAL,E92000001,England,State-funded primary,Age_8,Age_gender,Female,311390
201617,,NATIONAL,E92000001,England,State-funded primary,Age_9,Age,Total,596330
201617,,NATIONAL,E92000001,England,State-funded primary,Age_9,Age_gender,Male,303660
201617,,NATIONAL,E92000001,England,State-funded primary,Age_9,Age_gender,Female,292670
201617,,NATIONAL,E92000001,England,State-funded primary,Age_10,Age,Total,574465
201617,,NATIONAL,E92000001,England,State-funded primary,Age_10,Age_gender,Male,292090
201617,,NATIONAL,E92000001,England,State-funded primary,Age_10,Age_gender,Female,282375
201617,,NATIONAL,E92000001,England,State-funded primary,Age_11,Age,Total,1270
201617,,NATIONAL,E92000001,England,State-funded primary,Age_11,Age_gender,Male,695
201617,,NATIONAL,E92000001,England,State-funded primary,Age_11,Age_gender,Female,575
201617,,NATIONAL,E92000001,England,State-funded primary,Age_12,Age,Total,195
201617,,NATIONAL,E92000001,England,State-funded primary,Age_12,Age_gender,Male,100
201617,,NATIONAL,E92000001,England,State-funded primary,Age_12,Age_gender,Female,95
201617,,NATIONAL,E92000001,England,State-funded primary,Age_13,Age,Total,x
201617,,NATIONAL,E92000001,England,State-funded primary,Age_13,Age_gender,Male,x
201617,,NATIONAL,E92000001,England,State-funded primary,Age_13,Age_gender,Female,0
201617,,NATIONAL,E92000001,England,State-funded primary,Age_14,Age,Total,0
201617,,NATIONAL,E92000001,England,State-funded primary,Age_14,Age_gender,Male,0
201617,,NATIONAL,E92000001,England,State-funded primary,Age_14,Age_gender,Female,0
201617,,NATIONAL,E92000001,England,State-funded primary,Age_15,Age,Total,0
201617,,NATIONAL,E92000001,England,State-funded primary,Age_15,Age_gender,Male,0
201617,,NATIONAL,E92000001,England,State-funded primary,Age_15,Age_gender,Female,0
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Major_White_Total,Ethnicity,Total,3481190
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Major_White_Total,Ethnicity_gender,Male,1776765
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Major_White_Total,Ethnicity_gender,Female,1704425
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_White_British,Ethnicity,Total,3125260
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_White_British,Ethnicity_gender,Male,1594695
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_White_British,Ethnicity_gender,Female,1530565
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Irish,Ethnicity,Total,12305
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Irish,Ethnicity_gender,Male,6295
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Irish,Ethnicity_gender,Female,6010
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Traveller_of_Irish_heritage,Ethnicity,Total,4625
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Traveller_of_Irish_heritage,Ethnicity_gender,Male,2335
