year,level,country_code,country,school_type,characteristic_desc,characteristic_1,characteristic_2,headcount
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_50_to_60pc,Total,816965
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_60_to_70pc,Total,770640
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_70_to_80pc,Total,771970
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_80_to_90pc,Total,813435
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_90_to_100pc_least_deprived,Total,744250
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_unclassified,Total,495
201617,NATIONAL,E92000001,England,State-funded primary,Total,Total,Total,4689660
201617,NATIONAL,E92000001,England,State-funded primary,Gender,Gender_male,Total,2390530
201617,NATIONAL,E92000001,England,State-funded primary,Gender,Gender_female,Total,2299130
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_4_and_under,Total,955070
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_4_and_under,Male,486690
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_4_and_under,Female,468385
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_5,Total,653980
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_5,Male,334485
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_5,Female,319490
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_6,Total,643400
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_6,Male,328805
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_6,Female,314595
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_7,Total,630905
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_7,Male,321350
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_7,Female,309555
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_8,Total,634045
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_8,Male,322655
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_8,Female,311390
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_9,Total,596330
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_9,Male,303660
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_9,Female,292670
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_10,Total,574465
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_10,Male,292090
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_10,Female,282375
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_11,Total,1270
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_11,Male,695
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_11,Female,575
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_12,Total,195
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_12,Male,100
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_12,Female,95
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_13,Total,x
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_13,Male,x
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_13,Female,0
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_14,Total,0
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_14,Male,0
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_14,Female,0
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_15,Total,0
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_15,Male,0
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_15,Female,0
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_White_Total,Total,3481190
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Major_White_Total,Male,1776765
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Major_White_Total,Female,1704425
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_British,Total,3125260
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_White_British,Male,1594695
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_White_British,Female,1530565
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Irish,Total,12305
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Irish,Male,6295
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Irish,Female,6010
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Traveller_of_Irish_heritage,Total,4625
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Traveller_of_Irish_heritage,Male,2335
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Traveller_of_Irish_heritage,Female,2290
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Gypsy_Roma,Total,17425
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Gypsy_Roma,Male,8815
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Gypsy_Roma,Female,8605
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_white_background,Total,321575
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Any_other_white_background,Male,164625
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Any_other_white_background,Female,156950
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Mixed_Total,Total,281280
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Major_Mixed_Total,Male,142460
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Major_Mixed_Total,Female,138820
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_and_Black_Caribbean,Total,72885
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_White_and_Black_Caribbean,Male,36615
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_White_and_Black_Caribbean,Female,36270
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_and_Black_African,Total,39080
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_White_and_Black_African,Male,19545
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_White_and_Black_African,Female,19540
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_White_and_Asian,Total,66640
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_White_and_Asian,Male,33940
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_White_and_Asian,Female,32700
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_Mixed_background,Total,102670
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Any_other_Mixed_background,Male,52360
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Any_other_Mixed_background,Female,50315
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Major_Asian_Total,Total,515150
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Major_Asian_Total,Male,262655
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Major_Asian_Total,Female,252495
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Indian,Total,141120
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Indian,Male,72320
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Indian,Female,68800
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Pakistani,Total,207865
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Pakistani,Male,105705
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Pakistani,Female,102160
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Bangladeshi,Total,80275
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Bangladeshi,Male,40655
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Bangladeshi,Female,39620
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity,Ethnicity_Minor_Any_other_Asian_background,Total,85895
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Any_other_Asian_background,Male,43975
201617,NATIONAL,E92000001,England,State-funded primary,Ethnicity_gender,Ethnicity_Minor_Any_other_Asian_background,Female,41920
