time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,perm_physical_pupils,perm_physical_adult,perm_verbal_pupil,perm_verbal_adult,perm_bullying,perm_racist_abuse,perm_sexual_misconduct,perm_drug_alcohol,perm_damage,perm_theft,perm_persistent_disruptive,perm_other,fixed_physical_pupils,fixed_physical_adult,fixed_verbal_pupil,fixed_verbal_adult,fixed_bullying,fixed_racist_abuse,fixed_sexual_misconduct,fixed_drug_alcohol,fixed_damage,fixed_theft,fixed_persistent_disruptive,fixed_other
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Total,8,4,x,3,0,0,x,5,0,0,17,7,399,121,99,277,16,52,20,39,62,33,432,321
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,State-funded primary,x,4,x,0,0,0,0,0,0,0,3,x,63,60,18,13,6,x,x,x,5,5,67,20
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,State-funded secondary,7,0,0,3,0,0,x,5,0,0,14,5,306,34,80,256,10,46,17,37,37,28,348,237
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Special,0,0,0,0,0,0,0,0,0,0,0,0,30,27,x,8,0,4,x,x,20,0,17,64
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Total,4,x,3,4,0,0,0,6,0,0,18,10,452,79,93,319,20,43,6,35,31,25,481,285
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,State-funded primary,0,x,x,0,0,0,0,0,0,0,0,x,57,33,13,15,x,5,0,0,0,0,49,16
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,State-funded secondary,4,0,x,4,0,0,0,6,0,0,18,9,366,8,79,288,17,37,6,34,26,24,429,236
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Special,0,0,0,0,0,0,0,0,0,0,0,0,29,38,x,16,x,x,0,x,5,x,3,33
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Total,5,7,5,8,0,0,5,3,0,0,23,7,364,122,78,421,39,43,33,35,51,33,706,199
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,State-funded primary,x,3,x,x,0,0,0,0,0,0,x,0,46,33,22,26,x,9,x,0,6,x,95,8
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,State-funded secondary,3,4,3,7,0,0,5,3,0,0,20,7,300,63,54,383,29,32,30,35,27,32,563,153
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Special,0,0,0,0,0,0,0,0,0,0,x,0,18,26,x,12,8,x,x,0,18,0,48,38
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Total,0,0,0,0,0,0,0,0,0,0,0,0,248,102,42,140,14,12,17,21,38,5,106,215
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,43,15,3,9,x,0,3,0,0,0,27,14
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,State-funded secondary,0,0,0,0,0,0,0,0,0,0,0,0,152,19,37,122,11,10,11,21,7,4,66,186
academic year,201213,local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Special,0,0,0,0,0,0,0,0,0,0,0,0,53,68,x,9,x,x,3,0,31,x,13,15
academic year,201213,local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Total,x,0,0,x,0,0,0,0,x,0,0,0,193,43,26,240,7,6,4,10,19,5,236,147
academic year,201213,local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,3,4,x,13,0,0,0,0,0,0,10,x
academic year,201213,local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,State-funded secondary,x,0,0,x,0,0,0,0,x,0,0,0,184,29,24,222,7,6,4,10,19,5,216,143
academic year,201213,local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Special,0,0,0,0,0,0,0,0,0,0,0,0,6,10,x,5,0,0,0,0,0,0,10,x
academic year,201213,local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Total,23,x,x,5,0,0,x,6,0,x,6,13,433,82,74,228,31,29,5,19,27,17,246,647
academic year,201213,local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,State-funded primary,3,0,x,0,0,0,0,0,0,0,x,0,64,22,26,20,5,5,x,0,x,0,74,16
academic year,201213,local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,State-funded secondary,20,x,x,5,0,0,x,6,0,x,5,13,361,27,43,196,24,17,3,18,23,15,148,620
academic year,201213,local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Special,0,0,0,0,0,0,0,0,0,0,0,0,8,33,5,12,x,7,0,x,3,x,24,11
academic year,201213,local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Total,x,0,0,0,0,0,0,0,0,0,0,0,74,105,20,109,6,4,7,10,27,6,112,144
academic year,201213,local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,10,24,x,7,0,0,0,0,x,0,35,0
academic year,201213,local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,State-funded secondary,x,0,0,0,0,0,0,0,0,0,0,0,43,22,19,94,6,4,7,10,11,6,60,139
academic year,201213,local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Special,0,0,0,0,0,0,0,0,0,0,0,0,21,59,0,8,0,0,0,0,15,0,17,5
academic year,201213,local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Total,7,x,0,0,0,0,0,0,0,0,4,5,188,66,42,162,10,12,5,14,22,9,195,323
academic year,201213,local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,x,47,30,15,28,3,x,0,x,3,x,74,11
academic year,201213,local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,State-funded secondary,7,x,0,0,0,0,0,0,0,0,4,3,123,7,27,120,7,10,5,12,16,8,101,254
academic year,201213,local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Special,0,0,0,0,0,0,0,0,0,0,0,0,18,29,0,14,0,0,0,x,3,0,20,58
academic year,201213,local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Total,6,0,0,x,x,0,x,0,0,0,10,5,288,110,52,304,13,24,10,23,34,18,492,395
academic year,201213,local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,50,61,10,28,0,0,x,0,6,0,78,13
academic year,201213,local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,State-funded secondary,6,0,0,x,x,0,x,0,0,0,10,5,216,21,31,264,10,22,8,23,25,18,398,373
academic year,201213,local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Special,0,0,0,0,0,0,0,0,0,0,0,0,22,28,11,12,3,x,x,0,3,0,16,9
academic year,201213,local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Total,4,5,x,x,0,0,0,0,x,0,10,4,229,101,71,224,13,20,16,60,44,28,474,93
academic year,201213,local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,State-funded primary,0,3,0,0,0,0,0,0,0,0,x,x,74,58,25,43,x,x,3,0,3,0,86,22
academic year,201213,local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,State-funded secondary,4,x,x,x,0,0,0,0,x,0,7,3,146,32,46,177,12,19,13,60,41,28,353,71
academic year,201213,local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Special,0,0,0,0,0,0,0,0,0,0,x,0,9,11,0,4,0,0,0,0,0,0,35,0
academic year,201213,local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Total,5,x,x,3,0,0,0,4,0,x,16,x,139,19,50,161,12,12,9,44,30,20,169,122
academic year,201213,local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,11,9,4,8,x,0,0,0,0,0,10,0
academic year,201213,local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,State-funded secondary,5,x,x,3,0,0,0,4,0,x,16,x,128,10,46,153,11,12,9,44,30,20,159,122
academic year,201213,local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Total,7,x,0,3,x,0,x,0,x,3,8,4,497,213,132,541,42,42,25,79,96,54,692,339
academic year,201213,local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,State-funded primary,0,0,0,0,0,0,0,0,0,0,x,0,90,76,17,39,9,x,x,0,8,x,109,31
academic year,201213,local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,State-funded secondary,7,x,0,3,x,0,x,0,x,3,6,4,396,106,112,498,32,37,23,79,84,52,579,304
academic year,201213,local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Special,0,0,0,0,0,0,0,0,0,0,0,0,11,31,3,4,x,3,x,0,4,x,4,4
academic year,201213,local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Total,8,4,6,4,x,0,x,x,0,x,21,9,338,92,84,336,44,21,12,78,34,26,581,131
academic year,201213,local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,State-funded primary,0,x,0,0,0,0,0,0,0,0,0,0,25,52,3,4,x,0,0,0,x,4,10,4
academic year,201213,local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,State-funded secondary,8,3,6,4,x,0,x,x,0,x,21,9,310,32,81,332,43,21,12,76,33,22,571,127
academic year,201213,local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Special,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,x,0,0,0,0
academic year,201213,local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Total,9,3,x,6,x,0,0,x,0,x,7,7,254,106,46,272,41,20,7,52,51,29,257,285
academic year,201213,local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,State-funded primary,x,x,x,0,0,0,0,0,0,0,x,x,22,22,4,15,x,x,0,0,3,0,16,10
academic year,201213,local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,State-funded secondary,8,x,0,6,x,0,0,x,0,x,5,5,216,35,39,233,36,18,6,35,24,26,195,263
academic year,201213,local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Special,0,0,0,0,0,0,0,0,0,0,0,0,16,49,3,24,3,0,x,17,24,3,46,12
academic year,201213,local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Total,x,x,0,0,0,0,0,x,0,0,4,3,120,55,53,256,11,13,3,20,22,12,201,130
academic year,201213,local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,State-funded primary,x,0,0,0,0,0,0,0,0,0,x,x,19,20,4,16,6,3,0,0,x,0,38,5
academic year,201213,local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,State-funded secondary,x,x,0,0,0,0,0,x,0,0,3,x,86,17,48,237,3,9,x,18,14,12,160,125
academic year,201213,local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Special,0,0,0,0,0,0,0,0,0,0,0,0,15,18,x,3,x,x,x,x,7,0,3,0
academic year,201213,local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Total,8,x,x,3,x,0,0,7,0,0,22,4,276,109,71,330,34,26,10,55,29,28,382,221
academic year,201213,local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,34,51,7,26,0,3,x,x,6,0,41,5
academic year,201213,local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,State-funded secondary,8,x,x,3,x,0,0,7,0,0,22,4,231,30,63,297,33,21,9,51,19,28,327,212
academic year,201213,local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Special,0,0,0,0,0,0,0,0,0,0,0,0,11,28,x,7,x,x,0,3,4,0,14,4
academic year,201213,local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Total,3,x,x,7,0,0,0,5,0,0,27,13,363,117,83,432,10,19,14,36,53,19,322,542
academic year,201213,local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,State-funded primary,x,0,x,x,0,0,0,0,0,0,x,3,93,51,18,39,x,6,x,0,6,3,101,28
academic year,201213,local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,State-funded secondary,x,x,0,6,0,0,0,5,0,0,25,10,253,33,63,384,8,12,12,36,41,16,210,510
academic year,201213,local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Special,0,0,0,0,0,0,0,0,0,0,0,0,17,33,x,9,0,x,0,0,6,0,11,4
academic year,201213,local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Total,x,x,x,x,0,0,0,4,0,x,8,6,200,52,52,209,16,8,10,30,15,25,174,254
academic year,201213,local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,State-funded primary,0,0,0,0,0,0,0,0,0,0,x,0,23,18,8,7,0,0,0,0,x,4,30,x
academic year,201213,local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,State-funded secondary,x,x,x,x,0,0,0,4,0,x,7,6,142,20,34,189,6,6,9,29,9,14,96,250
academic year,201213,local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Special,0,0,0,0,0,0,0,0,0,0,0,0,35,14,10,13,10,x,x,x,5,7,48,x
academic year,201213,local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Total,0,x,0,0,0,0,0,0,0,0,0,0,303,116,52,373,12,14,7,57,22,18,431,259
academic year,201213,local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,State-funded primary,0,x,0,0,0,0,0,0,0,0,0,0,70,69,8,34,x,0,x,0,0,0,104,9
academic year,201213,local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,State-funded secondary,0,0,0,0,0,0,0,0,0,0,0,0,227,26,44,339,11,14,5,56,18,18,316,231
academic year,201213,local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Special,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,0,0,0,0,x,4,0,11,19
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Total,0,0,0,0,0,0,0,0,0,0,0,0,180,64,48,375,6,13,12,13,21,9,368,174
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,68,36,23,60,x,4,x,0,4,x,114,22
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,State-funded secondary,0,0,0,0,0,0,0,0,0,0,0,0,112,26,25,315,5,9,11,13,17,8,254,152
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Special,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Total,x,0,0,5,0,0,0,0,0,x,3,x,426,93,81,599,12,32,23,35,34,37,1075,418
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,State-funded primary,0,0,0,0,0,0,0,0,0,x,0,0,59,46,14,37,x,x,0,0,4,6,54,13
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,State-funded secondary,x,0,0,5,0,0,0,0,0,0,3,x,364,41,67,559,11,31,23,35,29,31,1010,404
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Special,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,x,0,11,x
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Total,x,4,0,3,0,x,0,0,0,0,6,0,417,119,106,599,14,54,28,34,47,16,493,252
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,State-funded primary,x,x,0,x,0,0,0,0,0,0,4,0,83,58,18,22,x,6,0,0,3,x,72,15
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,State-funded secondary,0,3,0,x,0,x,0,0,0,0,x,0,331,49,86,567,13,46,28,34,42,15,421,223
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Special,0,0,0,0,0,0,0,0,0,0,0,0,3,12,x,10,0,x,0,0,x,0,0,14
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Total,7,7,x,x,0,x,0,0,x,0,14,4,771,301,117,617,42,46,38,54,74,45,1082,465
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,State-funded primary,0,x,x,0,0,0,0,0,0,0,0,0,86,159,27,45,x,x,x,x,5,0,120,42
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,State-funded secondary,7,5,x,x,0,x,0,0,x,0,14,4,644,76,86,562,36,37,33,43,62,45,913,406
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Special,0,0,0,0,0,0,0,0,0,0,0,0,41,66,4,10,4,7,3,9,7,0,49,17
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Total,x,x,x,0,0,0,0,4,0,0,3,10,576,146,107,524,46,35,28,53,35,47,448,690
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,State-funded primary,0,x,x,0,0,0,0,0,0,0,0,0,86,103,17,38,15,4,4,4,9,x,48,43
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,State-funded secondary,x,x,0,0,0,0,0,4,0,0,3,10,489,42,90,486,31,31,24,49,26,45,400,646
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Special,0,0,0,0,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0,0,0,0,0,x
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Total,4,x,0,x,0,x,0,4,0,x,20,4,192,71,72,265,14,31,16,41,15,21,210,240
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,State-funded primary,0,x,0,0,0,0,0,0,0,0,x,x,30,40,9,14,6,0,0,0,0,0,44,12
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,State-funded secondary,4,0,0,x,0,x,0,4,0,x,18,3,161,28,60,251,8,31,16,41,15,21,162,228
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Special,0,0,0,0,0,0,0,0,0,0,0,0,x,3,3,0,0,0,0,0,0,0,4,0
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Total,x,0,0,0,0,0,0,x,0,0,0,0,431,191,69,414,38,33,17,72,35,28,554,521
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,107,122,15,37,3,8,x,x,6,0,94,9
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,State-funded secondary,x,0,0,0,0,0,0,x,0,0,0,0,296,28,50,370,24,25,15,55,27,27,439,510
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Special,0,0,0,0,0,0,0,0,0,0,0,0,28,41,4,7,11,0,0,15,x,x,21,x
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Total,3,x,0,x,0,0,x,3,x,0,3,x,614,359,94,875,68,63,50,121,98,50,1317,433
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,x,71,107,10,29,0,4,5,0,3,0,102,19
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,State-funded secondary,3,x,0,x,0,0,x,3,x,0,3,x,517,158,80,818,51,55,35,111,66,46,1154,400
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Special,0,0,0,0,0,0,0,0,0,0,0,0,26,94,4,28,17,4,10,10,29,4,61,14
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Total,6,3,0,4,0,0,0,4,0,0,9,4,401,193,81,602,16,40,29,124,65,25,1233,213
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,43,103,9,32,3,x,0,0,11,0,76,x
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,State-funded secondary,6,3,0,4,0,0,0,4,0,0,9,4,340,46,69,547,12,39,28,112,41,21,1151,212
academic year,201213,local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Special,0,0,0,0,0,0,0,0,0,0,0,0,18,44,3,23,x,0,x,12,13,4,6,0
academic year,201213,local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Total,x,x,x,x,x,0,0,5,0,x,7,6,135,21,38,220,6,13,8,26,8,9,124,172
academic year,201213,local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,State-funded primary,0,0,x,0,0,0,0,0,0,0,0,0,4,6,x,3,0,0,0,0,0,0,17,x
academic year,201213,local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,State-funded secondary,x,x,0,x,x,0,0,5,0,x,7,6,129,10,35,213,6,13,8,26,8,9,105,170
academic year,201213,local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Special,0,0,0,0,0,0,0,0,0,0,0,0,x,5,x,4,0,0,0,0,0,0,x,0
academic year,201213,local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Total,0,x,0,x,0,0,0,0,0,0,x,0,192,43,36,303,10,14,11,21,20,24,305,223
academic year,201213,local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,23,12,5,25,4,0,0,0,x,0,50,5
academic year,201213,local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,State-funded secondary,0,x,0,x,0,0,0,0,0,0,x,0,165,28,28,276,6,14,9,21,14,24,249,217
academic year,201213,local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Special,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,x,0,0,x,0,4,0,6,x
academic year,201213,local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Total,x,x,0,x,0,0,0,0,0,0,0,0,103,24,19,120,11,20,5,32,9,11,102,125
academic year,201213,local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,10,9,x,5,0,0,0,0,0,x,8,3
academic year,201213,local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,State-funded secondary,x,x,0,x,0,0,0,0,0,0,0,0,88,8,17,112,10,20,5,31,8,10,94,120
academic year,201213,local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Special,0,0,0,0,0,0,0,0,0,0,0,0,5,7,x,3,x,0,0,x,x,0,0,x
academic year,201213,local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Total,3,3,0,3,0,0,x,0,0,0,7,0,46,10,13,18,x,x,5,4,7,x,47,57
academic year,201213,local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,State-funded primary,0,0,0,0,0,0,0,0,0,0,0,0,5,0,x,x,0,0,0,0,0,0,x,x
academic year,201213,local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,State-funded secondary,3,3,0,3,0,0,x,0,0,0,7,0,38,6,9,16,x,x,5,3,7,x,30,55
academic year,201213,local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Special,0,0,0,0,0,0,0,0,0,0,0,0,3,4,x,x,0,0,0,x,0,0,16,0
academic year,201213,local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Total,5,5,0,4,0,0,0,x,0,x,7,x,150,68,37,235,16,13,7,40,24,16,208,110
academic year,201213,local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,State-funded primary,0,x,0,x,0,0,0,0,0,0,x,0,28,19,3,17,x,0,x,0,x,0,27,16
academic year,201213,local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,State-funded secondary,5,x,0,x,0,0,0,x,0,x,6,x,119,42,26,184,12,11,5,28,20,16,161,92
academic year,201213,local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Special,0,x,0,0,0,0,0,0,0,0,0,0,3,7,8,34,x,x,x,12,3,0,20,x
academic year,201213,local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Total,x,x,x,x,0,0,0,3,0,0,x,x,144,52,30,207,12,8,11,59,34,11,166,224
academic year,201213,local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,State-funded primary,0,x,x,0,0,0,0,0,0,0,0,0,9,26,3,12,0,0,x,0,x,0,5,5
academic year,201213,local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,State-funded secondary,x,x,0,x,0,0,0,3,0,0,x,x,121,10,17,137,11,7,9,20,18,11,109,214
academic year,201213,local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Special,0,0,0,0,0,0,0,0,0,0,0,0,14,16,10,58,x,x,0,39,14,0,52,5
academic year,201213,local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,Total,8,5,4,x,0,x,0,x,0,0,9,3,441,245,126,426,28,17,0,32,60,32,538,366
academic year,201213,local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,State-funded primary,x,x,0,0,0,0,0,0,0,0,0,0,185,162,42,78,18,6,0,x,13,x,186,52
academic year,201213,local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,State-funded secondary,7,4,4,x,0,x,0,x,0,0,9,3,241,51,76,333,9,10,0,29,38,29,313,289
academic year,201213,local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,Special,0,0,0,0,0,0,0,0,0,0,0,0,15,32,8,15,x,x,0,x,9,x,39,25
academic year,201213,local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Total,4,0,0,x,0,0,0,3,x,0,21,x,156,19,21,145,16,11,3,24,9,19,138,77
academic year,201213,local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,State-funded primary,0,0,0,0,0,0,0,0,0,0,8,0,15,11,x,9,0,0,0,0,x,x,17,0
academic year,201213,local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,State-funded secondary,4,0,0,x,0,0,0,3,x,0,13,x,141,6,20,136,16,11,3,24,8,17,119,77
academic year,201213,local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Special,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0
academic year,201213,local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Total,4,x,0,10,0,0,0,0,0,x,7,3,284,115,73,472,14,21,17,85,52,13,508,230
